ID_region,ID_subregion,ID_region_case_code,ID_subregion_case_code,ID_region_name,ID_subregion_name,ID_country_code,ID_country_name
2,7,992,977,Latin America and the Caribbean,Central America and Mexico,95,Panama
4,14,994,984,Asia and the Pacific,Oceania,910,Papua New Guinea
2,8,992,978,Latin America and the Caribbean,South America,150,Paraguay
2,8,992,978,Latin America and the Caribbean,South America,135,Peru
4,13,994,983,Asia and the Pacific,South-East Asia,840,Philippines
6,16,996,986,Europe,East-Central Europe,290,Poland
6,19,996,989,Europe,South Europe,235,Portugal
5,15,985,985,Middle East and Iran,Middle East and Iran,694,Qatar
1,2,991,972,Africa,Central Africa,484,Republic of Congo
4,11,994,981,Asia and the Pacific,East Asia,732,Republic of Korea
6,16,996,986,Europe,East-Central Europe,360,Romania
6,17,996,987,Europe,Eastern Europe/post-Soviet Europe,365,Russia
1,1,991,971,Africa,East Africa,517,Rwanda
5,15,985,985,Middle East and Iran,Middle East and Iran,670,Saudi Arabia
1,4,991,974,Africa,West Africa,433,Senegal
6,16,996,986,Europe,East-Central Europe,345,Serbia
1,4,991,974,Africa,West Africa,451,Sierra Leone
4,13,994,983,Asia and the Pacific,South-East Asia,830,Singapore
6,16,996,986,Europe,East-Central Europe,317,Slovakia
6,16,996,986,Europe,East-Central Europe,349,Slovenia
1,1,991,971,Africa,East Africa,520,Somalia
1,3,991,973,Africa,Southern Africa,560,South Africa
1,5,991,975,Africa,North Africa,626,South Sudan
6,19,996,989,Europe,South Europe,230,Spain
4,12,994,982,Asia and the Pacific,South Asia,780,Sri Lanka
1,5,991,975,Africa,North Africa,625,Sudan
6,18,996,988,Europe,North WestEurope,380,Sweden
6,18,996,988,Europe,North WestEurope,225,Switzerland
5,15,985,985,Middle East and Iran,Middle East and Iran,652,Syria
4,11,994,981,Asia and the Pacific,East Asia,713,Taiwan
4,10,994,980,Asia and the Pacific,Central Asia,702,Tajikistan
1,1,991,971,Africa,East Africa,510,Tanzania
4,13,994,983,Asia and the Pacific,South-East Asia,800,Thailand
4,13,994,983,Asia and the Pacific,South-East Asia,860,Timor-Leste
1,4,991,974,Africa,West Africa,461,Togo
2,6,992,976,Latin America and the Caribbean,Caribbean,52,Trinidad and Tobago
1,5,991,975,Africa,North Africa,616,Tunisia
6,19,996,989,Europe,South Europe,640,Turkey
4,10,994,980,Asia and the Pacific,Central Asia,701,Turkmenistan
1,1,991,971,Africa,East Africa,500,Uganda
6,17,996,987,Europe,Eastern Europe/post-Soviet Europe,369,Ukraine
5,15,985,985,Middle East and Iran,Middle East and Iran,696,United Arab Emirates
6,18,996,988,Europe,North WestEurope,200,United Kingdom
3,9,979,979,North America,North America,2,United States
2,8,992,978,Latin America and the Caribbean,South America,165,Uruguay
4,10,994,980,Asia and the Pacific,Central Asia,704,Uzbekistan
2,8,992,978,Latin America and the Caribbean,South America,101,Venezuela
4,13,994,983,Asia and the Pacific,South-East Asia,816,Viet Nam
5,15,985,985,Middle East and Iran,Middle East and Iran,679,Yemen
1,3,991,973,Africa,Southern Africa,551,Zambia
1,3,991,973,Africa,Southern Africa,552,Zimbabwe
